gameid,league_code,Winner,League,Phase,Blue,Red,Score,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,Winner,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
ESPORTSTMNT03_2714871,MSI,1,2022_Mid-Season_Invitational,Finals,Royal Never Give Up,T1,3 - 2,12.8,LeBlanc,Lucian,Xayah,Viego,Gangplank,Nautilus,Gwen,Ahri,Wukong,Lee Sin,Lissandra,Jayce,Ezreal,Tahm Kench,Kai'Sa,Caitlyn,Jhin,Tristana,Rakan,Yuumi,1,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Top,Bot,Support
ESPORTSTMNT03_2714870,MSI,1,2022_Mid-Season_Invitational,Finals,T1,Royal Never Give Up,2 - 2,12.8,Galio,Lucian,Viego,Gwen,Nautilus,Gangplank,Wukong,Ahri,Xayah,LeBlanc,Gnar,Lee Sin,Ezreal,Rakan,Senna,Irelia,Camille,Jinx,Tahm Kench,Leona,1,Jungle,Mid,Top,Bot,Support,Mid,Bot,Jungle,Top,Support
ESPORTSTMNT03_2714869,MSI,1,2022_Mid-Season_Invitational,Finals,Royal Never Give Up,T1,2 - 1,12.8,LeBlanc,Lucian,Xayah,Galio,Gangplank,Jax,Gwen,Ahri,Wukong,Viego,Lissandra,Nautilus,Tristana,Jayce,Kai'Sa,Kalista,Kennen,Ezreal,Braum,Aphelios,1,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Support,Top,Bot
ESPORTSTMNT03_2714868,MSI,1,2022_Mid-Season_Invitational,Finals,T1,Royal Never Give Up,1 - 1,12.8,Galio,Lucian,Jax,Gwen,Nautilus,LeBlanc,Wukong,Ahri,Xayah,Lissandra,Gangplank,Viego,Ezreal,Aatrox,Senna,Rakan,Gnar,Jinx,Tahm Kench,Karma,1,Jungle,Mid,Top,Bot,Support,Mid,Bot,Jungle,Top,Support
ESPORTSTMNT03_2714860,MSI,1,2022_Mid-Season_Invitational,Finals,Royal Never Give Up,T1,1 - 0,12.8,LeBlanc,Ahri,Xayah,Lucian,Renata Glasc,Wukong,Gwen,Jayce,Nocturne,Viego,Galio,Azir,Kai'Sa,Ezreal,Kalista,Senna,Caitlyn,Nautilus,Tristana,Morgana,1,Top,Jungle,Mid,Support,Bot,Top,Jungle,Mid,Bot,Support
ESPORTSTMNT03_2714848,MSI,2,2022_Mid-Season_Invitational,Semifinals,G2 Esports,T1,0 - 3,12.8,Gangplank,Lucian,Gwen,Wukong,LeBlanc,Ahri,Nocturne,Xayah,Lee Sin,Miss Fortune,Ornn,Renata Glasc,Rakan,Yone,Nautilus,Kennen,Gnar,Zoe,Karma,Akali,2,Jungle,Bot,Top,Mid,Support,Bot,Jungle,Support,Top,Mid
ESPORTSTMNT03_2714847,MSI,2,2022_Mid-Season_Invitational,Semifinals,G2 Esports,T1,0 - 2,12.8,Nocturne,Lucian,Gwen,Wukong,Gangplank,Ornn,Ahri,LeBlanc,Lee Sin,Viego,Sion,Nautilus,Renata Glasc,Kalista,Kai'Sa,Gnar,Xayah,Aphelios,Braum,Yone,2,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Support,Bot,Top
ESPORTSTMNT03_2714838,MSI,1,2022_Mid-Season_Invitational,Semifinals,T1,G2 Esports,1 - 0,12.8,Yasuo,Lucian,Ornn,Wukong,Nocturne,Ahri,Gwen,Galio,Gangplank,Xayah,Viego,Jarvan IV,LeBlanc,Kai'Sa,Rakan,Senna,Aphelios,Renata Glasc,Tristana,Pyke,1,Top,Bot,Jungle,Support,Mid,Mid,Top,Jungle,Bot,Support
ESPORTSTMNT03_2714827,MSI,2,2022_Mid-Season_Invitational,Semifinals,Evil Geniuses,Royal Never Give Up,0 - 3,12.8,Galio,Lucian,Gwen,LeBlanc,Kai'Sa,Tahm Kench,Ahri,Wukong,Gangplank,Viego,Ornn,Xayah,Ezreal,Rakan,Jinx,Vex,Lissandra,Miss Fortune,Nautilus,Braum,2,Mid,Jungle,Top,Bot,Support,Jungle,Top,Bot,Mid,Support
ESPORTSTMNT03_2714825,MSI,2,2022_Mid-Season_Invitational,Semifinals,Evil Geniuses,Royal Never Give Up,0 - 2,12.8,Kai'Sa,Lucian,Galio,LeBlanc,Gwen,Kalista,Ahri,Wukong,Xayah,Viego,Ornn,Gangplank,Senna,Vex,Ezreal,Zoe,Lissandra,Jinx,Tahm Kench,Rakan,2,Mid,Jungle,Top,Bot,Support,Jungle,Bot,Top,Mid,Support
