Unnamed: 0,League,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,League_new,gameid
0,MSI 2023,Finals,Bilibili Gaming,JD Gaming,1 - 3,2,13.8,K'Sante,Lucian,Wukong,Gwen,Zeri,Jinx,Rakan,Maokai,Jayce,Vi,Xayah,Aphelios,Ahri,Tahm Kench,Kennen,Gragas,Thresh,Gnar,Sylas,Sion,Support,Jungle,Bot,Top,Mid,Jungle,Mid,Bot,Support,Top,MSI,ESPORTSTMNT04_2677232
1,MSI 2023,Finals,JD Gaming,Bilibili Gaming,2 - 1,1,13.8,Lucian,K'Sante,Vi,Wukong,Gwen,Jinx,Jayce,Annie,Lulu,Zeri,Rakan,Kennen,Gragas,Kindred,Maokai,Aphelios,Kha'Zix,Sion,Sejuani,Vayne,Mid,Bot,Support,Top,Jungle,Mid,Support,Top,Jungle,Bot,MSI,ESPORTSTMNT04_2677230
2,MSI 2023,Finals,Bilibili Gaming,JD Gaming,1 - 1,1,13.8,K'Sante,Lucian,Gragas,Vi,Ahri,Kennen,Jinx,Annie,Wukong,Rakan,Gwen,Lulu,Kha'Zix,Aphelios,Nautilus,Zeri,Xayah,Maokai,Jayce,Sion,Bot,Support,Top,Jungle,Mid,Mid,Jungle,Support,Bot,Top,MSI,ESPORTSTMNT04_2677229
3,MSI 2023,Finals,JD Gaming,Bilibili Gaming,1 - 0,1,13.8,Lucian,K'Sante,Vi,Annie,Gwen,Ahri,Jinx,Maokai,Lulu,Rakan,Jayce,Aphelios,Sylas,Fiora,Sejuani,Gnar,Syndra,Gragas,Nautilus,Jax,Bot,Support,Mid,Top,Jungle,Jungle,Support,Bot,Mid,Top,MSI,ESPORTSTMNT04_2677225
4,MSI 2023,Bracket Round 4,Bilibili Gaming,T1,3 - 1,1,13.8,Lucian,Maokai,K'Sante,Vi,Jinx,Annie,Nautilus,Rakan,Wukong,Zeri,Lulu,Xayah,Kindred,Kennen,Nidalee,Lissandra,Jax,Fiora,Kha'Zix,Ahri,Mid,Bot,Support,Top,Jungle,Support,Jungle,Bot,Top,Mid,MSI,ESPORTSTMNT04_2677203
5,MSI 2023,Bracket Round 4,T1,Bilibili Gaming,1 - 2,1,13.8,Vi,Lucian,Wukong,Annie,Maokai,Jinx,K'Sante,Gwen,Lulu,Xayah,Rakan,Zeri,Kennen,Taliyah,Gragas,Sion,Kindred,Kha'Zix,Jax,Galio,Mid,Bot,Support,Jungle,Top,Top,Support,Bot,Jungle,Mid,MSI,ESPORTSTMNT04_2679171
6,MSI 2023,Bracket Round 4,T1,Bilibili Gaming,0 - 2,2,13.8,Vi,Lucian,Wukong,Annie,Gwen,K'Sante,Maokai,Jinx,Lulu,Aphelios,Nautilus,Sion,Tristana,Ahri,Blitzcrank,Jax,Kindred,Jayce,Kennen,Sylas,Jungle,Bot,Support,Mid,Top,Bot,Support,Top,Jungle,Mid,MSI,ESPORTSTMNT04_2679169
7,MSI 2023,Bracket Round 4,Bilibili Gaming,T1,1 - 0,1,13.8,Lucian,Maokai,K'Sante,Vi,Jinx,Kha'Zix,Annie,Rakan,Wukong,Zeri,Lulu,Xayah,Poppy,Kennen,Sejuani,Nautilus,Gragas,Viego,Jax,Lissandra,Mid,Bot,Support,Jungle,Top,Support,Jungle,Bot,Top,Mid,MSI,ESPORTSTMNT04_2679153
8,MSI 2023,Bracket Round 4,T1,JD Gaming,2 - 3,2,13.8,Vi,Lucian,Wukong,Annie,Ahri,K'Sante,Maokai,Jinx,Rakan,Aphelios,Lulu,Gragas,Tristana,Kha'Zix,Jayce,Viego,Sejuani,Gwen,Nautilus,Sylas,Jungle,Bot,Support,Top,Mid,Bot,Support,Top,Jungle,Mid,MSI,ESPORTSTMNT04_2679110
9,MSI 2023,Bracket Round 4,JD Gaming,T1,2 - 2,1,13.8,Lucian,Maokai,Sion,Vi,K'Sante,Lulu,Annie,Nautilus,Jinx,Wukong,Rakan,Tahm Kench,Xayah,Poppy,Zeri,Rumble,Kindred,Aphelios,Gragas,Malphite,Mid,Jungle,Support,Bot,Top,Mid,Bot,Support,Jungle,Top,MSI,ESPORTSTMNT04_2679108
