Unnamed: 0,League,Phase,Blue,Red,Score,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,league_code,gameid,Winner,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
0,2024_Mid-Season_Invitational,Finals,Gen.G,Bilibili Gaming,3 - 1,14.8,Taliyah,Corki,Ahri,Aurelion Sol,Lucian,K'Sante,Senna,Nautilus,Nidalee,Maokai,Lee Sin,Tristana,Hwei,Kalista,Zac,Varus,Zeri,Rumble,Azir,Camille,MSI,11061-11061_game_4,1,Bot,Support,Jungle,Top,Mid,Support,Jungle,Mid,Bot,Top
1,2024_Mid-Season_Invitational,Finals,Bilibili Gaming,Gen.G,1 - 2,14.8,Aurelion Sol,Taliyah,Corki,Ahri,Lucian,Nautilus,Senna,Kalista,Ashe,Tahm Kench,Nidalee,Lee Sin,Camille,K'Sante,Tristana,No_ban,Hwei,Jayce,Jax,Rumble,MSI,11061-11061_game_3,1,Bot,Support,Jungle,Mid,Top,Bot,Support,Jungle,Mid,Top
2,2024_Mid-Season_Invitational,Finals,Bilibili Gaming,Gen.G,0 - 2,14.8,Corki,Taliyah,Aurelion Sol,Ahri,K'Sante,Nautilus,Ashe,Kalista,Sejuani,Varus,Xin Zhao,Yone,LeBlanc,Rumble,Annie,Jax,Blitzcrank,Orianna,Camille,Zac,MSI,11061-11061_game_2,2,Support,Bot,Jungle,Mid,Top,Bot,Jungle,Mid,Support,Top
3,2024_Mid-Season_Invitational,Finals,Gen.G,Bilibili Gaming,1 - 0,14.8,Taliyah,Aurelion Sol,Ahri,Corki,Vayne,Nautilus,Senna,Lucian,Nami,Tahm Kench,K'Sante,Twisted Fate,Nidalee,Sejuani,Hwei,Maokai,Xin Zhao,Karthus,Yone,Neeko,MSI,11061-11061_game_1,1,Bot,Support,Top,Jungle,Mid,Bot,Support,Top,Jungle,Mid
4,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,T1,3 - 2,14.8,Azir,Ahri,Orianna,Renata Glasc,Ashe,Lucian,Senna,Taliyah,Nautilus,Ornn,Neeko,Varus,Vi,Nidalee,Kindred,Jax,Viego,Xin Zhao,Camille,K'Sante,MSI,11060-11060_game_5,1,Bot,Support,Mid,Jungle,Top,Mid,Support,Bot,Jungle,Top
5,2024_Mid-Season_Invitational,Bracket Round 4,T1,Bilibili Gaming,2 - 2,14.8,Ahri,Azir,Taliyah,Orianna,Kalista,Ashe,Senna,Nautilus,Varus,Ornn,Viego,Twisted Fate,Jax,Tristana,Camille,Nidalee,Vi,Aurelion Sol,K'Sante,Corki,MSI,11060-11060_game_4,1,Bot,Support,Jungle,Mid,Top,Support,Bot,Top,Jungle,Mid
6,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,T1,2 - 1,14.8,Azir,Ahri,Orianna,Tristana,Ashe,Taliyah,Senna,Nautilus,Nidalee,Ornn,Twisted Fate,Kalista,Vi,Jax,Neeko,Camille,Yasuo,Xin Zhao,Annie,Zac,MSI,11060-11060_game_3,1,Bot,Support,Top,Jungle,Mid,Support,Jungle,Bot,Top,Mid
7,2024_Mid-Season_Invitational,Bracket Round 4,T1,Bilibili Gaming,1 - 1,14.8,Ahri,Azir,Taliyah,Orianna,Tristana,Senna,Ashe,Kalista,Varus,Draven,Sejuani,Neeko,LeBlanc,Vi,Twisted Fate,Vayne,K'Sante,Camille,Akali,Wukong,MSI,11060-11060_game_2,1,Support,Bot,Jungle,Top,Mid,Support,Bot,Mid,Top,Jungle
8,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,T1,1 - 0,14.8,Azir,Ahri,Orianna,Vi,Ashe,Jax,Taliyah,Senna,Nautilus,Kalista,Renata Glasc,K'Sante,Vayne,Nidalee,Camille,Corki,Sejuani,Xin Zhao,Twisted Fate,Tristana,MSI,11060-11060_game_1,1,Mid,Bot,Support,Jungle,Top,Bot,Support,Top,Jungle,Mid
9,2024_Mid-Season_Invitational,Bracket Round 4,Bilibili Gaming,Gen.G,1 - 3,14.8,Aurelion Sol,Taliyah,Nautilus,Ahri,Senna,Ashe,Kalista,Lucian,Corki,Vi,Renata Glasc,Nami,Orianna,Sejuani,Neeko,Poppy,Maokai,K'Sante,Vex,Twisted Fate,MSI,11058-11058_game_4,2,Bot,Jungle,Support,Top,Mid,Bot,Mid,Support,Jungle,Top
